id_decil_renta,id_regimen_tenencia_decil_renta,Anyo,Valor
4,5,2017,11.3
4,5,2016,11.2
4,5,2015,11.4
4,5,2014,12.6
4,5,2013,10.6
4,5,2012,10.2
4,5,2011,10.0
4,5,2010,12.7
4,5,2009,11.9
4,5,2008,11.4
5,5,2024,11.9
5,5,2023,9.7
5,5,2022,10.9
5,5,2021,9.4
5,5,2020,10.0
5,5,2019,10.4
5,5,2018,8.5
5,5,2017,9.3
5,5,2016,7.6
5,5,2015,8.4
5,5,2014,8.4
5,5,2013,8.7
5,5,2012,10.2
5,5,2011,8.8
5,5,2010,8.0
5,5,2009,8.6
5,5,2008,6.7
6,5,2024,7.5
6,5,2023,10.0
6,5,2022,7.2
6,5,2021,8.1
6,5,2020,7.8
6,5,2019,8.2
6,5,2018,8.1
6,5,2017,6.9
6,5,2016,7.1
6,5,2015,7.7
6,5,2014,7.9
6,5,2013,7.9
6,5,2012,8.0
6,5,2011,8.8
6,5,2010,7.5
6,5,2009,9.6
6,5,2008,7.7
7,5,2024,7.7
7,5,2023,6.7
7,5,2022,6.6
7,5,2021,5.2
7,5,2020,6.3
7,5,2019,7.2
7,5,2018,6.1
7,5,2017,7.6
7,5,2016,7.3
7,5,2015,9.4
7,5,2014,6.6
7,5,2013,5.6
7,5,2012,6.7
7,5,2011,6.4
7,5,2010,6.9
7,5,2009,7.5
7,5,2008,5.5
8,5,2024,6.6
8,5,2023,7.0
8,5,2022,6.0
8,5,2021,5.2
8,5,2020,5.5
8,5,2019,5.3
8,5,2018,5.5
8,5,2017,5.1
8,5,2016,6.5
8,5,2015,5.2
8,5,2014,4.3
8,5,2013,5.8
8,5,2012,4.9
8,5,2011,5.7
8,5,2010,5.7
8,5,2009,5.2
8,5,2008,7.8
9,5,2024,5.2
9,5,2023,5.2
9,5,2022,5.5
9,5,2021,5.5
9,5,2020,4.0
9,5,2019,4.2
9,5,2018,4.6
9,5,2017,5.3
9,5,2016,5.2
9,5,2015,5.1
9,5,2014,6.0
9,5,2013,5.5
9,5,2012,2.7
9,5,2011,3.7
9,5,2010,4.7
9,5,2009,3.5
9,5,2008,3.3
10,5,2024,4.7
10,5,2023,5.6
10,5,2022,5.4
10,5,2021,4.9
10,5,2020,6.1
10,5,2019,4.8
10,5,2018,7.1
10,5,2017,5.3
10,5,2016,5.7
10,5,2015,5.5
10,5,2014,4.1
10,5,2013,4.3
10,5,2012,4.4
10,5,2011,2.7
10,5,2010,3.1
10,5,2009,2.8
10,5,2008,3.6
1,6,2024,24.3
1,6,2023,28.2
1,6,2022,25.1
1,6,2021,29.2
1,6,2020,30.3
1,6,2019,34.8
1,6,2018,33.9
1,6,2017,37.4
1,6,2016,33.3
1,6,2015,31.3
1,6,2014,28.0
1,6,2013,25.5
1,6,2012,19.1
1,6,2011,17.3
1,6,2010,21.8
1,6,2009,21.7
1,6,2008,24.3
2,6,2024,18.2
2,6,2023,15.8
2,6,2022,14.3
2,6,2021,15.0
2,6,2020,11.2
2,6,2019,12.3
2,6,2018,15.3
2,6,2017,19.8
2,6,2016,16.9
2,6,2015,20.3
2,6,2014,17.8
2,6,2013,17.5
2,6,2012,14.7
2,6,2011,15.5
2,6,2010,12.2
2,6,2009,12.2
2,6,2008,15.6
3,6,2024,10.8
3,6,2023,11.3
3,6,2022,17.1
3,6,2021,9.7
3,6,2020,12.9
3,6,2019,12.5
3,6,2018,12.2
3,6,2017,8.6
3,6,2016,11.8
3,6,2015,10.9
3,6,2014,14.8
3,6,2013,11.5
3,6,2012,14.7
3,6,2011,14.6
3,6,2010,13.6
3,6,2009,12.6
3,6,2008,10.2
4,6,2024,12.7
4,6,2023,10.3
4,6,2022,11.5
4,6,2021,13.2
4,6,2020,10.4
4,6,2019,9.9
4,6,2018,10.9
4,6,2017,9.3
4,6,2016,9.3
4,6,2015,8.4
4,6,2014,9.1
4,6,2013,7.7
4,6,2012,11.1
4,6,2011,10.8
4,6,2010,9.6
4,6,2009,13.2
4,6,2008,11.1
5,6,2024,8.4
5,6,2023,8.4
5,6,2022,11.4
5,6,2021,9.2
5,6,2020,9.4
5,6,2019,9.9
5,6,2018,8.7
5,6,2017,9.1
5,6,2016,9.7
5,6,2015,11.8
5,6,2014,10.2
5,6,2013,9.9
5,6,2012,11.8
5,6,2011,9.3
5,6,2010,12.9
5,6,2009,9.4
5,6,2008,8.5
6,6,2024,6.6
6,6,2023,8.8
6,6,2022,5.4
6,6,2021,7.0
6,6,2020,5.2
6,6,2019,4.6
6,6,2018,5.7
6,6,2017,6.6
6,6,2016,5.7
6,6,2015,4.6
6,6,2014,6.4
6,6,2013,8.5
6,6,2012,8.0
6,6,2011,8.5
6,6,2010,10.5
6,6,2009,9.4
6,6,2008,10.1
7,6,2024,3.2
7,6,2023,6.2
7,6,2022,4.3
7,6,2021,4.5
7,6,2020,6.2
7,6,2019,4.2
7,6,2018,2.9
7,6,2017,3.8
7,6,2016,7.6
7,6,2015,4.4
7,6,2014,5.2
7,6,2013,4.8
7,6,2012,7.4
7,6,2011,8.9
7,6,2010,6.1
7,6,2009,5.3
7,6,2008,5.3
8,6,2024,6.1
8,6,2023,4.0
8,6,2022,5.4
8,6,2021,4.0
8,6,2020,5.4
8,6,2019,4.2
8,6,2018,5.7
8,6,2017,2.1
8,6,2016,1.6
8,6,2015,3.0
8,6,2014,1.4
8,6,2013,8.0
8,6,2012,7.0
8,6,2011,7.1
8,6,2010,5.3
8,6,2009,6.9
8,6,2008,5.9
9,6,2024,6.2
9,6,2023,3.7
9,6,2022,2.8
9,6,2021,5.2
9,6,2020,6.2
9,6,2019,5.7
9,6,2018,2.4
9,6,2017,1.7
9,6,2016,2.7
9,6,2015,4.0
9,6,2014,6.1
9,6,2013,5.0
9,6,2012,3.9
9,6,2011,4.1
9,6,2010,4.3
9,6,2009,5.2
9,6,2008,4.5
10,6,2024,3.7
10,6,2023,3.2
10,6,2022,2.8
10,6,2021,2.9
10,6,2020,2.8
10,6,2019,1.9
10,6,2018,2.4
10,6,2017,1.6
10,6,2016,1.4
10,6,2015,1.3
10,6,2014,0.8
10,6,2013,1.5
10,6,2012,2.2
10,6,2011,4.0
10,6,2010,3.7
10,6,2009,4.1
10,6,2008,4.6
1,7,2024,19.5
1,7,2023,16.7
1,7,2022,16.7
1,7,2021,19.0
1,7,2020,18.6
1,7,2019,21.4
1,7,2018,19.7
1,7,2017,18.9
1,7,2016,20.1
1,7,2015,17.3
1,7,2014,17.4
1,7,2013,17.0
1,7,2012,18.3
1,7,2011,15.3
1,7,2010,14.5
1,7,2009,14.9
1,7,2008,15.8
2,7,2024,12.7
2,7,2023,12.1
2,7,2022,15.2
2,7,2021,12.8
2,7,2020,15.1
2,7,2019,14.0
2,7,2018,12.7
2,7,2017,15.8
2,7,2016,11.3
2,7,2015,13.5
2,7,2014,15.1
2,7,2013,14.9
2,7,2012,15.5
2,7,2011,13.8
2,7,2010,12.3
2,7,2009,14.0
2,7,2008,14.8
3,7,2024,12.3
3,7,2023,12.3
3,7,2022,13.7
3,7,2021,11.2
3,7,2020,12.7
3,7,2019,12.8
3,7,2018,13.0
3,7,2017,11.2
3,7,2016,12.8
3,7,2015,12.6
3,7,2014,11.6
3,7,2013,11.0
3,7,2012,10.0
3,7,2011,12.1
3,7,2010,13.8
3,7,2009,14.2
3,7,2008,13.3
4,7,2024,9.5
4,7,2023,11.0
4,7,2022,10.7
4,7,2021,12.4
4,7,2020,10.7
4,7,2019,13.0
4,7,2018,10.8
4,7,2017,11.9
4,7,2016,10.7
4,7,2015,11.5
4,7,2014,12.7
4,7,2013,15.9
4,7,2012,12.3
4,7,2011,9.9
4,7,2010,8.9
4,7,2009,10.3
4,7,2008,10.5
5,7,2024,11.0
5,7,2023,9.3
5,7,2022,8.7
5,7,2021,10.6
5,7,2020,10.0
5,7,2019,8.4
5,7,2018,12.1
5,7,2017,8.8
5,7,2016,10.6
5,7,2015,11.1
5,7,2014,8.4
5,7,2013,9.9
5,7,2012,9.5
5,7,2011,11.1
5,7,2010,10.2
5,7,2009,10.2
5,7,2008,10.0
6,7,2024,10.1
6,7,2023,9.5
6,7,2022,9.2
6,7,2021,7.3
6,7,2020,8.4
6,7,2019,7.2
6,7,2018,7.0
6,7,2017,9.3
6,7,2016,9.0
6,7,2015,8.9
6,7,2014,9.9
6,7,2013,8.3
6,7,2012,9.4
6,7,2011,12.5
6,7,2010,13.3
6,7,2009,7.6
6,7,2008,9.0
7,7,2024,8.5
7,7,2023,9.3
7,7,2022,8.8
7,7,2021,9.1
7,7,2020,5.7
7,7,2019,5.5
7,7,2018,7.0
7,7,2017,6.8
7,7,2016,7.1
7,7,2015,8.3
7,7,2014,9.8
7,7,2013,8.0
7,7,2012,7.3
7,7,2011,6.3
7,7,2010,7.5
7,7,2009,10.6
7,7,2008,11.9
8,7,2024,6.9
8,7,2023,8.1
8,7,2022,7.1
8,7,2021,6.9
8,7,2020,8.3
8,7,2019,8.2
8,7,2018,6.5
8,7,2017,7.8
8,7,2016,8.3
8,7,2015,7.7
8,7,2014,8.7
8,7,2013,5.7
8,7,2012,8.2
8,7,2011,7.7
8,7,2010,7.1
8,7,2009,7.0
8,7,2008,5.9
9,7,2024,5.5
9,7,2023,7.8
9,7,2022,6.9
9,7,2021,6.5
9,7,2020,6.9
9,7,2019,5.7
9,7,2018,7.1
